epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,590.915,0.51555,9.28468,0,0.3855,1.07552,0.99916,1,0.995,0.83049,0.11578,0.11429,0.06498,0.01133,4.31642,7.48039,0,1.79307,7.25605,0.0018218,0.0018218,0.0018218
47,603.323,0.51636,9.5576,0,0.39179,1.0864,0.99729,1,0.995,0.91956,0,0,0,0,4.33935,6.65342,0,2.03844,7.57117,0.00181784,0.00181784,0.00181784
48,614.55,0.5641,9.82918,0,0.39835,1.10782,0.99501,1,0.995,0.85207,0.01428,0.01429,0.00439,0.00044,4.43234,6.60551,0,1.85037,7.77118,0.00181388,0.00181388,0.00181388
49,627.699,0.54273,9.29706,0,0.384,1.11064,0.97733,0.97143,0.99282,0.67791,0.42464,0.3,0.35725,0.10404,4.63449,9.90963,0,1.63617,6.95958,0.00180992,0.00180992,0.00180992
50,639.572,0.50839,9.07781,0,0.36832,1.068,0.99894,1,0.995,0.91415,0.62639,0.54286,0.57881,0.13252,4.21829,6.03041,0,1.81103,6.84593,0.00180596,0.00180596,0.00180596
51,652.441,0.5242,9.91619,0,0.38108,1.09815,0.99875,1,0.995,0.8927,0.24182,0.24286,0.11189,0.02384,4.33264,6.38351,0,1.66824,6.13193,0.001802,0.001802,0.001802
52,665.675,0.48494,9.52019,0,0.36062,1.0654,0.99667,1,0.995,0.96572,0.58316,0.58571,0.49806,0.11552,4.22569,5.88521,0,1.609,6.51568,0.00179804,0.00179804,0.00179804
53,677.417,0.51334,9.74023,0,0.36388,1.08081,0.99886,1,0.995,0.8573,0.12844,0.12857,0.06131,0.00957,4.37296,5.8722,0,1.92631,7.48194,0.00179408,0.00179408,0.00179408
54,688.969,0.50392,9.22117,0,0.36197,1.07311,0.99585,1,0.995,0.97785,0.91049,0.91429,0.90086,0.31363,4.24462,5.13702,0,1.53928,7.46524,0.00179012,0.00179012,0.00179012
55,700.321,0.48663,9.7274,0,0.34714,1.08615,0.99799,1,0.995,0.94232,0.58451,0.58571,0.49149,0.08973,4.21342,5.20418,0,1.67105,6.99088,0.00178616,0.00178616,0.00178616
56,715.463,0.56354,10.0915,0,0.36926,1.11805,0.99896,1,0.995,0.79844,0.18571,0.18571,0.11976,0.03015,4.40554,7.07283,0,1.93487,7.06957,0.0017822,0.0017822,0.0017822
57,726.843,0.60763,9.69234,0,0.41227,1.13551,0.99473,1,0.995,0.91157,0.69596,0.7,0.60902,0.1766,4.30041,6.02162,0,2.23949,7.10955,0.00177824,0.00177824,0.00177824
58,738.394,0.55805,9.91876,0,0.39669,1.11243,0.99902,1,0.995,0.83407,0.10273,0.1,0.04373,0.00667,4.41277,5.70329,0,1.63584,6.50648,0.00177428,0.00177428,0.00177428
59,750.128,0.50763,9.82488,0,0.37719,1.09186,0.99879,1,0.995,0.95337,0.77681,0.71429,0.73587,0.2216,4.26256,5.45771,0,1.6297,7.11999,0.00177032,0.00177032,0.00177032
60,765.364,0.55937,9.52956,0,0.38103,1.10846,0.99808,1,0.995,0.94412,0.3709,0.37143,0.25795,0.05913,4.23064,5.0738,0,1.53203,7.43396,0.00176636,0.00176636,0.00176636
61,779.566,0.50952,9.04766,0,0.37531,1.08574,0.99914,1,0.995,0.89754,0.01438,0.01429,0.00478,0.00191,4.29096,7.70916,0,1.64661,7.43933,0.0017624,0.0017624,0.0017624
62,793.062,0.46287,9.42549,0,0.36626,1.04806,0.99909,1,0.995,0.95666,0.07137,0.07143,0.02863,0.00785,4.20343,6.84401,0,1.65724,6.63161,0.00175844,0.00175844,0.00175844
63,805.23,0.46809,9.35071,0,0.34572,1.058,0.99868,1,0.995,0.89936,0,0,0,0,4.42291,7.39431,0,1.74465,7.18547,0.00175448,0.00175448,0.00175448
64,818.699,0.51292,9.21194,0,0.34693,1.06366,0.9965,1,0.995,0.90531,0.47126,0.47143,0.41939,0.14231,4.25645,6.03077,0,1.4724,6.96273,0.00175052,0.00175052,0.00175052
65,830.397,0.45738,9.12771,0,0.34392,1.03996,0.99894,1,0.995,0.97577,0.09991,0.1,0.04896,0.00616,4.29766,5.72743,0,1.66537,7.09946,0.00174656,0.00174656,0.00174656
66,849.528,0.45376,9.18315,0,0.32672,1.04053,0.99914,1,0.995,0.84797,0.03821,0.04286,0.01866,0.00747,4.42538,6.72898,0,2.28387,7.07718,0.0017426,0.0017426,0.0017426
67,862.956,0.42194,9.3971,0,0.32096,1.01099,0.99911,1,0.995,0.93777,0.01428,0.01429,0.00601,0.0006,4.09188,7.26737,0,1.34817,6.17333,0.00173864,0.00173864,0.00173864
68,875.362,0.4404,9.35246,0,0.32856,1.02218,0.99893,1,0.995,0.91022,0.4285,0.42857,0.32817,0.09198,4.199,5.23548,0,1.64494,6.82965,0.00173468,0.00173468,0.00173468
69,886.849,0.46894,9.45806,0,0.32283,1.02392,0.99748,1,0.995,0.98589,0.13365,0.1,0.10601,0.02524,4.09187,6.04485,0,1.46921,6.42583,0.00173072,0.00173072,0.00173072
